Customer:  Angela Usman, Order number:  16 
Customer:  Anish Boopta, Order number:  0 
Customer:  Boris Yakub, Order number:  0 
Customer:  Brad Lopez, Order number:  11 
Customer:  Cherie Lovelace, Order number:  0 
Customer:  David Patel, Order number:  0 
Customer:  Emmanuel Frank, Order number:  14 
Customer:  Evo Zafar, Order number:  0 
Customer:  Henry Davis, Order number:  0 
Customer:  Hillary Mason, Order number:  13 
Customer:  Jair Reily, Order number:  0 
Customer:  Joe White, Order number:  15 
Customer:  Kelly Fisher, Order number:  0 
Customer:  Leslie Tanner, Order number:  0 
Customer:  Li Baker, Order number:  0 
Customer:  Melanie Samuelson, Order number:  10 
Customer:  Michael Smith, Order number:  0 
Customer:  Narenda Clark, Order number:  20 
Customer:  Nico Quinn, Order number:  17 
Customer:  Nono Chib, Order number:  2 
Customer:  Patricia Frazier, Order number:  7 
Customer:  Patrick Swinton, Order number:  0 
Customer:  Patty Moss, Order number:  0 
Customer:  Pedro Ghosh, Order number:  0 
Customer:  Robert Gun, Order number:  4 
Customer:  Salyy Urduuute, Order number:  22 
Customer:  Sammy Philips, Order number:  6 
Customer:  Shelly Baxter, Order number:  0 
Customer:  Tamira Gun, Order number:  1 
Customer:  Tamira Gun, Order number:  12 
Customer:  Tandi Miller, Order number:  0 
Customer:  Tefan Irwin, Order number:  0 
Customer:  Thabo Trott, Order number:  0 
Customer:  Timi Gun, Order number:  0 
Customer:  Timmy Chan, Order number:  5 
Customer:  Vlad Xiang, Order number:  3 
Customer:  Yoshihide Adams, Order number:  21 
